FIPS,name,count
19,"CD101, Manhattan",4
29,"CD102, Manhattan",20
30,"CD103, Manhattan",6
21,"CD104, Manhattan",25
13,"CD105, Manhattan",29
31,"CD106, Manhattan",14
20,"CD107, Manhattan",0
42,"CD108, Manhattan",6
60,"CD109, Manhattan",0
70,"CD110, Manhattan",15
48,"CD111, Manhattan",13
71,"CD112, Manhattan",1
18,"CD164, Manhattan",0
41,"CD201, Bronx",8
44,"CD202, Bronx",0
53,"CD203, Bronx",6
32,"CD204, Bronx",10
62,"CD205, Bronx",1
63,"CD206, Bronx",6
36,"CD207, Bronx",5
24,"CD208, Bronx",5
45,"CD209, Bronx",6
59,"CD210, Bronx",11
50,"CD211, Bronx",8
58,"CD212, Bronx",9
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",28
6,"CD302, Brooklyn",9
14,"CD303, Brooklyn",21
22,"CD304, Brooklyn",14
64,"CD305, Brooklyn",33
54,"CD306, Brooklyn",12
9,"CD307, Brooklyn",11
55,"CD308, Brooklyn",5
16,"CD309, Brooklyn",5
10,"CD310, Brooklyn",28
1,"CD311, Brooklyn",30
11,"CD312, Brooklyn",70
7,"CD313, Brooklyn",67
5,"CD314, Brooklyn",17
8,"CD315, Brooklyn",86
15,"CD316, Brooklyn",5
17,"CD317, Brooklyn",2
39,"CD318, Brooklyn",23
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",49
26,"CD402, Queens",54
68,"CD403, Queens",26
27,"CD404, Queens",29
28,"CD405, Queens",31
37,"CD406, Queens",17
49,"CD407, Queens",138
46,"CD408, Queens",32
65,"CD409, Queens",16
61,"CD410, Queens",24
47,"CD411, Queens",21
3,"CD412, Queens",33
66,"CD413, Queens",37
57,"CD414, Queens",27
69,"CD480, Queens",0
4,"CD481, Queens",1
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",57
34,"CD502, Staten Island",82
35,"CD503, Staten Island",214
12,"CD595, Staten Island",0
