FIPS,name,count
19,"CD101, Manhattan",27
29,"CD102, Manhattan",32
30,"CD103, Manhattan",44
21,"CD104, Manhattan",47
13,"CD105, Manhattan",58
31,"CD106, Manhattan",36
20,"CD107, Manhattan",11
42,"CD108, Manhattan",26
60,"CD109, Manhattan",6
70,"CD110, Manhattan",5
48,"CD111, Manhattan",15
71,"CD112, Manhattan",2
18,"CD164, Manhattan",0
41,"CD201, Bronx",11
44,"CD202, Bronx",2
53,"CD203, Bronx",6
32,"CD204, Bronx",6
62,"CD205, Bronx",9
63,"CD206, Bronx",17
36,"CD207, Bronx",17
24,"CD208, Bronx",14
45,"CD209, Bronx",6
59,"CD210, Bronx",23
50,"CD211, Bronx",15
58,"CD212, Bronx",12
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",123
6,"CD302, Brooklyn",54
14,"CD303, Brooklyn",100
22,"CD304, Brooklyn",68
64,"CD305, Brooklyn",20
54,"CD306, Brooklyn",29
9,"CD307, Brooklyn",23
55,"CD308, Brooklyn",39
16,"CD309, Brooklyn",34
10,"CD310, Brooklyn",14
1,"CD311, Brooklyn",26
11,"CD312, Brooklyn",101
7,"CD313, Brooklyn",35
5,"CD314, Brooklyn",48
8,"CD315, Brooklyn",79
15,"CD316, Brooklyn",7
17,"CD317, Brooklyn",33
39,"CD318, Brooklyn",18
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",71
26,"CD402, Queens",58
68,"CD403, Queens",28
27,"CD404, Queens",51
28,"CD405, Queens",32
37,"CD406, Queens",24
49,"CD407, Queens",135
46,"CD408, Queens",50
65,"CD409, Queens",19
61,"CD410, Queens",16
47,"CD411, Queens",77
3,"CD412, Queens",37
66,"CD413, Queens",18
57,"CD414, Queens",54
69,"CD480, Queens",0
4,"CD481, Queens",0
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",54
34,"CD502, Staten Island",81
35,"CD503, Staten Island",83
12,"CD595, Staten Island",2
