FIPS,name,count
19,"CD101, Manhattan",7
29,"CD102, Manhattan",11
30,"CD103, Manhattan",14
21,"CD104, Manhattan",18
13,"CD105, Manhattan",28
31,"CD106, Manhattan",6
20,"CD107, Manhattan",5
42,"CD108, Manhattan",9
60,"CD109, Manhattan",0
70,"CD110, Manhattan",8
48,"CD111, Manhattan",42
71,"CD112, Manhattan",2
18,"CD164, Manhattan",0
41,"CD201, Bronx",9
44,"CD202, Bronx",7
53,"CD203, Bronx",7
32,"CD204, Bronx",6
62,"CD205, Bronx",12
63,"CD206, Bronx",7
36,"CD207, Bronx",9
24,"CD208, Bronx",9
45,"CD209, Bronx",12
59,"CD210, Bronx",14
50,"CD211, Bronx",19
58,"CD212, Bronx",27
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",32
6,"CD302, Brooklyn",12
14,"CD303, Brooklyn",19
22,"CD304, Brooklyn",14
64,"CD305, Brooklyn",9
54,"CD306, Brooklyn",20
9,"CD307, Brooklyn",13
55,"CD308, Brooklyn",7
16,"CD309, Brooklyn",4
10,"CD310, Brooklyn",10
1,"CD311, Brooklyn",19
11,"CD312, Brooklyn",76
7,"CD313, Brooklyn",22
5,"CD314, Brooklyn",25
8,"CD315, Brooklyn",41
15,"CD316, Brooklyn",7
17,"CD317, Brooklyn",11
39,"CD318, Brooklyn",18
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",55
26,"CD402, Queens",22
68,"CD403, Queens",20
27,"CD404, Queens",35
28,"CD405, Queens",35
37,"CD406, Queens",18
49,"CD407, Queens",97
46,"CD408, Queens",23
65,"CD409, Queens",18
61,"CD410, Queens",22
47,"CD411, Queens",71
3,"CD412, Queens",61
66,"CD413, Queens",63
57,"CD414, Queens",61
69,"CD480, Queens",0
4,"CD481, Queens",0
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",64
34,"CD502, Staten Island",55
35,"CD503, Staten Island",55
12,"CD595, Staten Island",0
