FIPS,name,count
19,"CD101, Manhattan",8
29,"CD102, Manhattan",11
30,"CD103, Manhattan",12
21,"CD104, Manhattan",19
13,"CD105, Manhattan",49
31,"CD106, Manhattan",8
20,"CD107, Manhattan",7
42,"CD108, Manhattan",10
60,"CD109, Manhattan",1
70,"CD110, Manhattan",13
48,"CD111, Manhattan",34
71,"CD112, Manhattan",5
18,"CD164, Manhattan",0
41,"CD201, Bronx",10
44,"CD202, Bronx",1
53,"CD203, Bronx",11
32,"CD204, Bronx",4
62,"CD205, Bronx",0
63,"CD206, Bronx",6
36,"CD207, Bronx",15
24,"CD208, Bronx",27
45,"CD209, Bronx",28
59,"CD210, Bronx",88
50,"CD211, Bronx",20
58,"CD212, Bronx",50
33,"CD226, Bronx",0
51,"CD227, Bronx",1
52,"CD228, Bronx",0
2,"CD301, Brooklyn",79
6,"CD302, Brooklyn",20
14,"CD303, Brooklyn",37
22,"CD304, Brooklyn",20
64,"CD305, Brooklyn",45
54,"CD306, Brooklyn",17
9,"CD307, Brooklyn",36
55,"CD308, Brooklyn",14
16,"CD309, Brooklyn",15
10,"CD310, Brooklyn",35
1,"CD311, Brooklyn",66
11,"CD312, Brooklyn",147
7,"CD313, Brooklyn",50
5,"CD314, Brooklyn",38
8,"CD315, Brooklyn",117
15,"CD316, Brooklyn",7
17,"CD317, Brooklyn",13
39,"CD318, Brooklyn",37
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",66
26,"CD402, Queens",41
68,"CD403, Queens",79
27,"CD404, Queens",84
28,"CD405, Queens",101
37,"CD406, Queens",33
49,"CD407, Queens",250
46,"CD408, Queens",88
65,"CD409, Queens",71
61,"CD410, Queens",70
47,"CD411, Queens",93
3,"CD412, Queens",87
66,"CD413, Queens",70
57,"CD414, Queens",121
69,"CD480, Queens",0
4,"CD481, Queens",0
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",174
34,"CD502, Staten Island",162
35,"CD503, Staten Island",204
12,"CD595, Staten Island",0
