FIPS,name,count
19,"CD101, Manhattan",12
29,"CD102, Manhattan",12
30,"CD103, Manhattan",29
21,"CD104, Manhattan",33
13,"CD105, Manhattan",16
31,"CD106, Manhattan",34
20,"CD107, Manhattan",25
42,"CD108, Manhattan",23
60,"CD109, Manhattan",2
70,"CD110, Manhattan",14
48,"CD111, Manhattan",28
71,"CD112, Manhattan",1
18,"CD164, Manhattan",0
41,"CD201, Bronx",8
44,"CD202, Bronx",16
53,"CD203, Bronx",11
32,"CD204, Bronx",6
62,"CD205, Bronx",2
63,"CD206, Bronx",8
36,"CD207, Bronx",17
24,"CD208, Bronx",20
45,"CD209, Bronx",32
59,"CD210, Bronx",48
50,"CD211, Bronx",32
58,"CD212, Bronx",104
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",120
6,"CD302, Brooklyn",36
14,"CD303, Brooklyn",38
22,"CD304, Brooklyn",23
64,"CD305, Brooklyn",38
54,"CD306, Brooklyn",35
9,"CD307, Brooklyn",51
55,"CD308, Brooklyn",16
16,"CD309, Brooklyn",23
10,"CD310, Brooklyn",35
1,"CD311, Brooklyn",171
11,"CD312, Brooklyn",132
7,"CD313, Brooklyn",81
5,"CD314, Brooklyn",64
8,"CD315, Brooklyn",147
15,"CD316, Brooklyn",16
17,"CD317, Brooklyn",37
39,"CD318, Brooklyn",55
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",79
26,"CD402, Queens",44
68,"CD403, Queens",71
27,"CD404, Queens",90
28,"CD405, Queens",75
37,"CD406, Queens",36
49,"CD407, Queens",305
46,"CD408, Queens",112
65,"CD409, Queens",92
61,"CD410, Queens",67
47,"CD411, Queens",153
3,"CD412, Queens",194
66,"CD413, Queens",116
57,"CD414, Queens",125
69,"CD480, Queens",0
4,"CD481, Queens",1
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",123
34,"CD502, Staten Island",182
35,"CD503, Staten Island",170
12,"CD595, Staten Island",0
