FIPS,name,count
19,"CD101, Manhattan",18
29,"CD102, Manhattan",17
30,"CD103, Manhattan",23
21,"CD104, Manhattan",56
13,"CD105, Manhattan",50
31,"CD106, Manhattan",16
20,"CD107, Manhattan",11
42,"CD108, Manhattan",60
60,"CD109, Manhattan",5
70,"CD110, Manhattan",24
48,"CD111, Manhattan",30
71,"CD112, Manhattan",10
18,"CD164, Manhattan",0
41,"CD201, Bronx",3
44,"CD202, Bronx",7
53,"CD203, Bronx",13
32,"CD204, Bronx",7
62,"CD205, Bronx",6
63,"CD206, Bronx",24
36,"CD207, Bronx",18
24,"CD208, Bronx",22
45,"CD209, Bronx",43
59,"CD210, Bronx",58
50,"CD211, Bronx",30
58,"CD212, Bronx",87
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",202
6,"CD302, Brooklyn",52
14,"CD303, Brooklyn",54
22,"CD304, Brooklyn",21
64,"CD305, Brooklyn",68
54,"CD306, Brooklyn",55
9,"CD307, Brooklyn",43
55,"CD308, Brooklyn",30
16,"CD309, Brooklyn",38
10,"CD310, Brooklyn",38
1,"CD311, Brooklyn",93
11,"CD312, Brooklyn",111
7,"CD313, Brooklyn",76
5,"CD314, Brooklyn",60
8,"CD315, Brooklyn",137
15,"CD316, Brooklyn",22
17,"CD317, Brooklyn",47
39,"CD318, Brooklyn",40
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",103
26,"CD402, Queens",58
68,"CD403, Queens",95
27,"CD404, Queens",117
28,"CD405, Queens",86
37,"CD406, Queens",35
49,"CD407, Queens",261
46,"CD408, Queens",90
65,"CD409, Queens",114
61,"CD410, Queens",99
47,"CD411, Queens",136
3,"CD412, Queens",215
66,"CD413, Queens",109
57,"CD414, Queens",149
69,"CD480, Queens",0
4,"CD481, Queens",0
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",112
34,"CD502, Staten Island",159
35,"CD503, Staten Island",138
12,"CD595, Staten Island",0
