FIPS,name,count
19,"CD101, Manhattan",6
29,"CD102, Manhattan",7
30,"CD103, Manhattan",7
21,"CD104, Manhattan",20
13,"CD105, Manhattan",15
31,"CD106, Manhattan",6
20,"CD107, Manhattan",5
42,"CD108, Manhattan",7
60,"CD109, Manhattan",2
70,"CD110, Manhattan",8
48,"CD111, Manhattan",17
71,"CD112, Manhattan",14
18,"CD164, Manhattan",0
41,"CD201, Bronx",10
44,"CD202, Bronx",3
53,"CD203, Bronx",11
32,"CD204, Bronx",9
62,"CD205, Bronx",1
63,"CD206, Bronx",6
36,"CD207, Bronx",6
24,"CD208, Bronx",18
45,"CD209, Bronx",17
59,"CD210, Bronx",61
50,"CD211, Bronx",15
58,"CD212, Bronx",38
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",55
6,"CD302, Brooklyn",16
14,"CD303, Brooklyn",24
22,"CD304, Brooklyn",10
64,"CD305, Brooklyn",18
54,"CD306, Brooklyn",19
9,"CD307, Brooklyn",24
55,"CD308, Brooklyn",4
16,"CD309, Brooklyn",16
10,"CD310, Brooklyn",28
1,"CD311, Brooklyn",47
11,"CD312, Brooklyn",93
7,"CD313, Brooklyn",28
5,"CD314, Brooklyn",30
8,"CD315, Brooklyn",120
15,"CD316, Brooklyn",10
17,"CD317, Brooklyn",22
39,"CD318, Brooklyn",21
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",45
26,"CD402, Queens",43
68,"CD403, Queens",69
27,"CD404, Queens",66
28,"CD405, Queens",53
37,"CD406, Queens",12
49,"CD407, Queens",226
46,"CD408, Queens",68
65,"CD409, Queens",34
61,"CD410, Queens",44
47,"CD411, Queens",84
3,"CD412, Queens",83
66,"CD413, Queens",50
57,"CD414, Queens",45
69,"CD480, Queens",0
4,"CD481, Queens",0
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",156
34,"CD502, Staten Island",206
35,"CD503, Staten Island",212
12,"CD595, Staten Island",0
