FIPS,name,count
19,"CD101, Manhattan",30
29,"CD102, Manhattan",30
30,"CD103, Manhattan",34
21,"CD104, Manhattan",64
13,"CD105, Manhattan",60
31,"CD106, Manhattan",24
20,"CD107, Manhattan",19
42,"CD108, Manhattan",15
60,"CD109, Manhattan",5
70,"CD110, Manhattan",15
48,"CD111, Manhattan",26
71,"CD112, Manhattan",3
18,"CD164, Manhattan",0
41,"CD201, Bronx",16
44,"CD202, Bronx",11
53,"CD203, Bronx",36
32,"CD204, Bronx",10
62,"CD205, Bronx",10
63,"CD206, Bronx",10
36,"CD207, Bronx",35
24,"CD208, Bronx",8
45,"CD209, Bronx",29
59,"CD210, Bronx",33
50,"CD211, Bronx",36
58,"CD212, Bronx",77
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",224
6,"CD302, Brooklyn",66
14,"CD303, Brooklyn",38
22,"CD304, Brooklyn",29
64,"CD305, Brooklyn",68
54,"CD306, Brooklyn",97
9,"CD307, Brooklyn",53
55,"CD308, Brooklyn",28
16,"CD309, Brooklyn",34
10,"CD310, Brooklyn",28
1,"CD311, Brooklyn",70
11,"CD312, Brooklyn",154
7,"CD313, Brooklyn",28
5,"CD314, Brooklyn",50
8,"CD315, Brooklyn",95
15,"CD316, Brooklyn",12
17,"CD317, Brooklyn",26
39,"CD318, Brooklyn",33
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",122
26,"CD402, Queens",70
68,"CD403, Queens",93
27,"CD404, Queens",84
28,"CD405, Queens",67
37,"CD406, Queens",34
49,"CD407, Queens",219
46,"CD408, Queens",80
65,"CD409, Queens",80
61,"CD410, Queens",76
47,"CD411, Queens",88
3,"CD412, Queens",204
66,"CD413, Queens",116
57,"CD414, Queens",105
69,"CD480, Queens",0
4,"CD481, Queens",0
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",110
34,"CD502, Staten Island",97
35,"CD503, Staten Island",91
12,"CD595, Staten Island",0
