FIPS,name,count
19,"CD101, Manhattan",7
29,"CD102, Manhattan",6
30,"CD103, Manhattan",5
21,"CD104, Manhattan",8
13,"CD105, Manhattan",18
31,"CD106, Manhattan",4
20,"CD107, Manhattan",7
42,"CD108, Manhattan",3
60,"CD109, Manhattan",36
70,"CD110, Manhattan",3
48,"CD111, Manhattan",2
71,"CD112, Manhattan",0
18,"CD164, Manhattan",0
41,"CD201, Bronx",3
44,"CD202, Bronx",3
53,"CD203, Bronx",16
32,"CD204, Bronx",5
62,"CD205, Bronx",2
63,"CD206, Bronx",3
36,"CD207, Bronx",8
24,"CD208, Bronx",1
45,"CD209, Bronx",7
59,"CD210, Bronx",9
50,"CD211, Bronx",9
58,"CD212, Bronx",24
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",22
6,"CD302, Brooklyn",7
14,"CD303, Brooklyn",16
22,"CD304, Brooklyn",4
64,"CD305, Brooklyn",15
54,"CD306, Brooklyn",21
9,"CD307, Brooklyn",7
55,"CD308, Brooklyn",9
16,"CD309, Brooklyn",6
10,"CD310, Brooklyn",9
1,"CD311, Brooklyn",36
11,"CD312, Brooklyn",55
7,"CD313, Brooklyn",11
5,"CD314, Brooklyn",21
8,"CD315, Brooklyn",27
15,"CD316, Brooklyn",1
17,"CD317, Brooklyn",4
39,"CD318, Brooklyn",11
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",38
26,"CD402, Queens",23
68,"CD403, Queens",15
27,"CD404, Queens",44
28,"CD405, Queens",20
37,"CD406, Queens",13
49,"CD407, Queens",83
46,"CD408, Queens",29
65,"CD409, Queens",20
61,"CD410, Queens",21
47,"CD411, Queens",60
3,"CD412, Queens",34
66,"CD413, Queens",28
57,"CD414, Queens",53
69,"CD480, Queens",0
4,"CD481, Queens",1
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",45
34,"CD502, Staten Island",50
35,"CD503, Staten Island",46
12,"CD595, Staten Island",0
