FIPS,name,count
19,"CD101, Manhattan",23
29,"CD102, Manhattan",23
30,"CD103, Manhattan",25
21,"CD104, Manhattan",24
13,"CD105, Manhattan",81
31,"CD106, Manhattan",25
20,"CD107, Manhattan",12
42,"CD108, Manhattan",27
60,"CD109, Manhattan",8
70,"CD110, Manhattan",22
48,"CD111, Manhattan",5
71,"CD112, Manhattan",6
18,"CD164, Manhattan",0
41,"CD201, Bronx",11
44,"CD202, Bronx",7
53,"CD203, Bronx",8
32,"CD204, Bronx",6
62,"CD205, Bronx",11
63,"CD206, Bronx",22
36,"CD207, Bronx",8
24,"CD208, Bronx",10
45,"CD209, Bronx",8
59,"CD210, Bronx",15
50,"CD211, Bronx",21
58,"CD212, Bronx",13
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",91
6,"CD302, Brooklyn",60
14,"CD303, Brooklyn",80
22,"CD304, Brooklyn",80
64,"CD305, Brooklyn",28
54,"CD306, Brooklyn",47
9,"CD307, Brooklyn",72
55,"CD308, Brooklyn",15
16,"CD309, Brooklyn",34
10,"CD310, Brooklyn",20
1,"CD311, Brooklyn",36
11,"CD312, Brooklyn",95
7,"CD313, Brooklyn",23
5,"CD314, Brooklyn",49
8,"CD315, Brooklyn",77
15,"CD316, Brooklyn",7
17,"CD317, Brooklyn",35
39,"CD318, Brooklyn",13
56,"CD355, Brooklyn",0
40,"CD356, Brooklyn",0
43,"CD401, Queens",97
26,"CD402, Queens",39
68,"CD403, Queens",46
27,"CD404, Queens",66
28,"CD405, Queens",23
37,"CD406, Queens",16
49,"CD407, Queens",135
46,"CD408, Queens",33
65,"CD409, Queens",15
61,"CD410, Queens",22
47,"CD411, Queens",68
3,"CD412, Queens",54
66,"CD413, Queens",21
57,"CD414, Queens",94
69,"CD480, Queens",0
4,"CD481, Queens",2
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",52
34,"CD502, Staten Island",109
35,"CD503, Staten Island",77
12,"CD595, Staten Island",0
